Ano	Estado	Mes	Numero	Periodo
2009	DF	Outubro	3	01/01/2009
2010	DF	Outubro	6	01/01/2010
2011	DF	Outubro	0	01/01/2011
2012	DF	Outubro	15	01/01/2012
2013	DF	Outubro	3	01/01/2013
2014	DF	Outubro	34	01/01/2014
2015	DF	Outubro	21	01/01/2015
2016	DF	Outubro	9	01/01/2016
2017	DF	Outubro	66	01/01/2017
1998	DF	Novembro	0	01/01/1998
1999	DF	Novembro	1	01/01/1999
2000	DF	Novembro	0	01/01/2000
2001	DF	Novembro	0	01/01/2001
2002	DF	Novembro	1	01/01/2002
2003	DF	Novembro	0	01/01/2003
2004	DF	Novembro	0	01/01/2004
2005	DF	Novembro	2	01/01/2005
2006	DF	Novembro	0	01/01/2006
2007	DF	Novembro	0	01/01/2007
2008	DF	Novembro	4	01/01/2008
2009	DF	Novembro	0	01/01/2009
2010	DF	Novembro	0	01/01/2010
2011	DF	Novembro	1	01/01/2011
2012	DF	Novembro	0	01/01/2012
2013	DF	Novembro	0	01/01/2013
2014	DF	Novembro	0	01/01/2014
2015	DF	Novembro	3	01/01/2015
2016	DF	Novembro	1	01/01/2016
2017	DF	Novembro	0	01/01/2017
1998	DF	Dezembro	0	01/01/1998
1999	DF	Dezembro	0	01/01/1999
2000	DF	Dezembro	0	01/01/2000
2001	DF	Dezembro	1	01/01/2001
2002	DF	Dezembro	1	01/01/2002
2003	DF	Dezembro	0	01/01/2003
2004	DF	Dezembro	0	01/01/2004
2005	DF	Dezembro	0	01/01/2005
2006	DF	Dezembro	0	01/01/2006
2007	DF	Dezembro	0	01/01/2007
2008	DF	Dezembro	0	01/01/2008
2009	DF	Dezembro	0	01/01/2009
2010	DF	Dezembro	1	01/01/2010
2011	DF	Dezembro	0	01/01/2011
2012	DF	Dezembro	0	01/01/2012
2013	DF	Dezembro	2	01/01/2013
2014	DF	Dezembro	0	01/01/2014
2015	DF	Dezembro	0	01/01/2015
2016	DF	Dezembro	0	01/01/2016
1998	ES	Janeiro	0	01/01/1998
1999	ES	Janeiro	33	01/01/1999
2000	ES	Janeiro	5	01/01/2000
2001	ES	Janeiro	1	01/01/2001
2002	ES	Janeiro	2	01/01/2002
2003	ES	Janeiro	4	01/01/2003
2004	ES	Janeiro	1	01/01/2004
2005	ES	Janeiro	4	01/01/2005
2006	ES	Janeiro	13	01/01/2006
2007	ES	Janeiro	0	01/01/2007
2008	ES	Janeiro	12	01/01/2008
2009	ES	Janeiro	4	01/01/2009
2010	ES	Janeiro	52	01/01/2010
2011	ES	Janeiro	3	01/01/2011
2012	ES	Janeiro	1	01/01/2012
2013	ES	Janeiro	10	01/01/2013
2014	ES	Janeiro	11	01/01/2014
2015	ES	Janeiro	76	01/01/2015
2016	ES	Janeiro	43	01/01/2016
2017	ES	Janeiro	13	01/01/2017
1998	ES	Fevereiro	0	01/01/1998
1999	ES	Fevereiro	10	01/01/1999
2000	ES	Fevereiro	5	01/01/2000
2001	ES	Fevereiro	5	01/01/2001
2002	ES	Fevereiro	4	01/01/2002
2003	ES	Fevereiro	11	01/01/2003
2004	ES	Fevereiro	5	01/01/2004
2005	ES	Fevereiro	1	01/01/2005
2006	ES	Fevereiro	45	01/01/2006
2007	ES	Fevereiro	3	01/01/2007
2008	ES	Fevereiro	20	01/01/2008
2009	ES	Fevereiro	12	01/01/2009
2010	ES	Fevereiro	15	01/01/2010
2011	ES	Fevereiro	42	01/01/2011
2012	ES	Fevereiro	25	01/01/2012
2013	ES	Fevereiro	15	01/01/2013
2014	ES	Fevereiro	17	01/01/2014
2015	ES	Fevereiro	60	01/01/2015
2016	ES	Fevereiro	24	01/01/2016
2017	ES	Fevereiro	8	01/01/2017
1998	ES	Março	0	01/01/1998
1999	ES	Março	8	01/01/1999
2000	ES	Março	1	01/01/2000
2001	ES	Março	2	01/01/2001
2002	ES	Março	4	01/01/2002
2003	ES	Março	28	01/01/2003
2004	ES	Março	3	01/01/2004
2005	ES	Março	3	01/01/2005
2006	ES	Março	14	01/01/2006
2007	ES	Março	9	01/01/2007
2008	ES	Março	5	01/01/2008
2009	ES	Março	11	01/01/2009
2010	ES	Março	3	01/01/2010
2011	ES	Março	5	01/01/2011
2012	ES	Março	35	01/01/2012
2013	ES	Março	13	01/01/2013
2014	ES	Março	15	01/01/2014
2015	ES	Março	25	01/01/2015
2016	ES	Março	107	01/01/2016
2017	ES	Março	9	01/01/2017
1998	ES	Abril	0	01/01/1998
1999	ES	Abril	2	01/01/1999
2000	ES	Abril	3	01/01/2000
2001	ES	Abril	2	01/01/2001
2002	ES	Abril	2	01/01/2002
2003	ES	Abril	22	01/01/2003
2004	ES	Abril	0	01/01/2004
2005	ES	Abril	4	01/01/2005
2006	ES	Abril	1	01/01/2006
2007	ES	Abril	2	01/01/2007
2008	ES	Abril	8	01/01/2008
2009	ES	Abril	8	01/01/2009
2010	ES	Abril	7	01/01/2010
2011	ES	Abril	3	01/01/2011
2012	ES	Abril	74	01/01/2012
2013	ES	Abril	16	01/01/2013
2014	ES	Abril	15	01/01/2014
2015	ES	Abril	33	01/01/2015
2016	ES	Abril	57	01/01/2016
2017	ES	Abril	7	01/01/2017
1998	ES	Maio	0	01/01/1998
1999	ES	Maio	16	01/01/1999
2000	ES	Maio	2	01/01/2000
2001	ES	Maio	8	01/01/2001
2002	ES	Maio	5	01/01/2002
2003	ES	Maio	1	01/01/2003
2004	ES	Maio	0	01/01/2004
2005	ES	Maio	5	01/01/2005
2006	ES	Maio	0	01/01/2006
2007	ES	Maio	1	01/01/2007
2008	ES	Maio	2	01/01/2008
2009	ES	Maio	7	01/01/2009
2010	ES	Maio	3	01/01/2010
2011	ES	Maio	2	01/01/2011
2012	ES	Maio	20	01/01/2012
2013	ES	Maio	14	01/01/2013
2014	ES	Maio	18	01/01/2014
2015	ES	Maio	17	01/01/2015
2016	ES	Maio	48	01/01/2016
2017	ES	Maio	10	01/01/2017
1998	ES	Junho	6	01/01/1998
1999	ES	Junho	6	01/01/1999
2000	ES	Junho	9	01/01/2000
2001	ES	Junho	9	01/01/2001
2002	ES	Junho	18	01/01/2002
2003	ES	Junho	19	01/01/2003
2004	ES	Junho	3	01/01/2004
2005	ES	Junho	8	01/01/2005
2006	ES	Junho	5	01/01/2006
2007	ES	Junho	4	01/01/2007
2008	ES	Junho	4	01/01/2008
2009	ES	Junho	12	01/01/2009
2010	ES	Junho	3	01/01/2010
2011	ES	Junho	7	01/01/2011
2012	ES	Junho	15	01/01/2012
2013	ES	Junho	22	01/01/2013
2014	ES	Junho	9	01/01/2014
2015	ES	Junho	18	01/01/2015
2016	ES	Junho	49	01/01/2016
2017	ES	Junho	37	01/01/2017
1998	ES	Julho	37	01/01/1998
1999	ES	Julho	9	01/01/1999
2000	ES	Julho	16	01/01/2000
2001	ES	Julho	12	01/01/2001
2002	ES	Julho	9	01/01/2002
2003	ES	Julho	27	01/01/2003
2004	ES	Julho	4	01/01/2004
2005	ES	Julho	9	01/01/2005
2006	ES	Julho	11	01/01/2006
2007	ES	Julho	13	01/01/2007
2008	ES	Julho	5	01/01/2008
2009	ES	Julho	25	01/01/2009
2010	ES	Julho	5	01/01/2010
2011	ES	Julho	18	01/01/2011
2012	ES	Julho	35	01/01/2012
2013	ES	Julho	20	01/01/2013
2014	ES	Julho	17	01/01/2014
2015	ES	Julho	30	01/01/2015
2016	ES	Julho	42	01/01/2016
2017	ES	Julho	3	01/01/2017
1998	ES	Agosto	38	01/01/1998
1999	ES	Agosto	60	01/01/1999
2000	ES	Agosto	26	01/01/2000
2001	ES	Agosto	30	01/01/2001
2002	ES	Agosto	60	01/01/2002
2003	ES	Agosto	118	01/01/2003
2004	ES	Agosto	12	01/01/2004
2005	ES	Agosto	12	01/01/2005
2006	ES	Agosto	29	01/01/2006
2007	ES	Agosto	82	01/01/2007
2008	ES	Agosto	13	01/01/2008
2009	ES	Agosto	17	01/01/2009
2010	ES	Agosto	39	01/01/2010
2011	ES	Agosto	93	01/01/2011
2012	ES	Agosto	12	01/01/2012
2013	ES	Agosto	53	01/01/2013
2014	ES	Agosto	47	01/01/2014
2015	ES	Agosto	35	01/01/2015
2016	ES	Agosto	78	01/01/2016
2017	ES	Agosto	30	01/01/2017
1998	ES	Setembro	108	01/01/1998
1999	ES	Setembro	64	01/01/1999
2000	ES	Setembro	14	01/01/2000
2001	ES	Setembro	38	01/01/2001
2002	ES	Setembro	46	01/01/2002
2003	ES	Setembro	252	01/01/2003
2004	ES	Setembro	47	01/01/2004
2005	ES	Setembro	8	01/01/2005
2006	ES	Setembro	87	01/01/2006
2007	ES	Setembro	63	01/01/2007
2008	ES	Setembro	78	01/01/2008
2009	ES	Setembro	57	01/01/2009
2010	ES	Setembro	53	01/01/2010
2011	ES	Setembro	108	01/01/2011
2012	ES	Setembro	48	01/01/2012
2013	ES	Setembro	30	01/01/2013
2014	ES	Setembro	61	01/01/2014
2015	ES	Setembro	228	01/01/2015
2016	ES	Setembro	128	01/01/2016
2017	ES	Setembro	58	01/01/2017
1998	ES	Outubro	20	01/01/1998
1999	ES	Outubro	23	01/01/1999
2000	ES	Outubro	88	01/01/2000
2001	ES	Outubro	19	01/01/2001
2002	ES	Outubro	113	01/01/2002
2003	ES	Outubro	159	01/01/2003
2004	ES	Outubro	48	01/01/2004
2005	ES	Outubro	62	01/01/2005
2006	ES	Outubro	10	01/01/2006
2007	ES	Outubro	79	01/01/2007
2008	ES	Outubro	100	01/01/2008
2009	ES	Outubro	13	01/01/2009
2010	ES	Outubro	32	01/01/2010
2011	ES	Outubro	38	01/01/2011
2012	ES	Outubro	62	01/01/2012
2013	ES	Outubro	37	01/01/2013
2014	ES	Outubro	89	01/01/2014
2015	ES	Outubro	307	01/01/2015
2016	ES	Outubro	58	01/01/2016
2017	ES	Outubro	56	01/01/2017
1998	ES	Novembro	4	01/01/1998
1999	ES	Novembro	9	01/01/1999
2000	ES	Novembro	3	01/01/2000
2001	ES	Novembro	3	01/01/2001
2002	ES	Novembro	22	01/01/2002
2003	ES	Novembro	49	01/01/2003
2004	ES	Novembro	42	01/01/2004
2005	ES	Novembro	0	01/01/2005
2006	ES	Novembro	0	01/01/2006
2007	ES	Novembro	112	01/01/2007
2008	ES	Novembro	3	01/01/2008
2009	ES	Novembro	18	01/01/2009
2010	ES	Novembro	3	01/01/2010
2011	ES	Novembro	6	01/01/2011
2012	ES	Novembro	7	01/01/2012
2013	ES	Novembro	11	01/01/2013
2014	ES	Novembro	20	01/01/2014
2015	ES	Novembro	141	01/01/2015
2016	ES	Novembro	8	01/01/2016
2017	ES	Novembro	3	01/01/2017
1998	ES	Dezembro	5	01/01/1998
1999	ES	Dezembro	0	01/01/1999
2000	ES	Dezembro	3	01/01/2000
2001	ES	Dezembro	1	01/01/2001
2002	ES	Dezembro	12	01/01/2002
2003	ES	Dezembro	18	01/01/2003
2004	ES	Dezembro	9	01/01/2004
2005	ES	Dezembro	5	01/01/2005
2006	ES	Dezembro	0	01/01/2006
2007	ES	Dezembro	14	01/01/2007
2008	ES	Dezembro	1	01/01/2008
2009	ES	Dezembro	32	01/01/2009
2010	ES	Dezembro	10	01/01/2010
2011	ES	Dezembro	1	01/01/2011
2012	ES	Dezembro	18	01/01/2012
2013	ES	Dezembro	9	01/01/2013
2014	ES	Dezembro	28	01/01/2014
2015	ES	Dezembro	61	01/01/2015
2016	ES	Dezembro	12	01/01/2016
1998	GO	Janeiro	0	01/01/1998
1999	GO	Janeiro	14	01/01/1999
2000	GO	Janeiro	10	01/01/2000
2001	GO	Janeiro	29	01/01/2001
2002	GO	Janeiro	12	01/01/2002
2003	GO	Janeiro	14	01/01/2003
2004	GO	Janeiro	10	01/01/2004
2005	GO	Janeiro	27	01/01/2005
2006	GO	Janeiro	85	01/01/2006
2007	GO	Janeiro	28	01/01/2007
2008	GO	Janeiro	23	01/01/2008
2009	GO	Janeiro	30	01/01/2009
2010	GO	Janeiro	59	01/01/2010
2011	GO	Janeiro	39	01/01/2011
2012	GO	Janeiro	21	01/01/2012
2013	GO	Janeiro	33	01/01/2013
2014	GO	Janeiro	80	01/01/2014
2015	GO	Janeiro	118	01/01/2015
2016	GO	Janeiro	52	01/01/2016
2017	GO	Janeiro	53	01/01/2017
1998	GO	Fevereiro	0	01/01/1998
1999	GO	Fevereiro	334	01/01/1999
2000	GO	Fevereiro	11	01/01/2000
2001	GO	Fevereiro	9	01/01/2001
2002	GO	Fevereiro	9	01/01/2002
2003	GO	Fevereiro	47	01/01/2003
2004	GO	Fevereiro	11	01/01/2004
2005	GO	Fevereiro	84	01/01/2005
2006	GO	Fevereiro	21	01/01/2006
2007	GO	Fevereiro	13	01/01/2007
2008	GO	Fevereiro	25	01/01/2008
2009	GO	Fevereiro	29	01/01/2009
2010	GO	Fevereiro	86	01/01/2010
2011	GO	Fevereiro	45	01/01/2011
2012	GO	Fevereiro	37	01/01/2012
2013	GO	Fevereiro	86	01/01/2013
2014	GO	Fevereiro	44	01/01/2014
2015	GO	Fevereiro	53	01/01/2015
2016	GO	Fevereiro	117	01/01/2016
2017	GO	Fevereiro	75	01/01/2017
1998	GO	Março	0	01/01/1998
1999	GO	Março	1	01/01/1999
2000	GO	Março	4	01/01/2000
2001	GO	Março	10	01/01/2001
2002	GO	Março	48	01/01/2002
2003	GO	Março	29	01/01/2003
2004	GO	Março	36	01/01/2004
2005	GO	Março	36	01/01/2005
2006	GO	Março	29	01/01/2006
2007	GO	Março	49	01/01/2007
2008	GO	Março	20	01/01/2008
2009	GO	Março	32	01/01/2009
2010	GO	Março	65	01/01/2010
2011	GO	Março	19	01/01/2011
2012	GO	Março	57	01/01/2012
2013	GO	Março	79	01/01/2013
2014	GO	Março	80	01/01/2014
2015	GO	Março	76	01/01/2015
2016	GO	Março	136	01/01/2016
2017	GO	Março	115	01/01/2017
1998	GO	Abril	0	01/01/1998
1999	GO	Abril	25	01/01/1999
2000	GO	Abril	16	01/01/2000
2001	GO	Abril	49	01/01/2001
2002	GO	Abril	78	01/01/2002
2003	GO	Abril	87	01/01/2003
2004	GO	Abril	32	01/01/2004
2005	GO	Abril	55	01/01/2005
2006	GO	Abril	22	01/01/2006
2007	GO	Abril	17	01/01/2007
2008	GO	Abril	36	01/01/2008
2009	GO	Abril	11	01/01/2009
2010	GO	Abril	105	01/01/2010
2011	GO	Abril	71	01/01/2011
2012	GO	Abril	89	01/01/2012
2013	GO	Abril	42	01/01/2013
2014	GO	Abril	138	01/01/2014
2015	GO	Abril	89	01/01/2015
2016	GO	Abril	167	01/01/2016
2017	GO	Abril	60	01/01/2017
1998	GO	Maio	0	01/01/1998
1999	GO	Maio	99	01/01/1999
2000	GO	Maio	58	01/01/2000
2001	GO	Maio	85	01/01/2001
2002	GO	Maio	171	01/01/2002
2003	GO	Maio	57	01/01/2003
2004	GO	Maio	157	01/01/2004
2005	GO	Maio	164	01/01/2005
2006	GO	Maio	33	01/01/2006
2007	GO	Maio	94	01/01/2007
2008	GO	Maio	41	01/01/2008
2009	GO	Maio	104	01/01/2009
2010	GO	Maio	239	01/01/2010
2011	GO	Maio	136	01/01/2011
2012	GO	Maio	103	01/01/2012
2013	GO	Maio	150	01/01/2013
2014	GO	Maio	210	01/01/2014
2015	GO	Maio	129	01/01/2015
2016	GO	Maio	233	01/01/2016
2017	GO	Maio	135	01/01/2017
1998	GO	Junho	172	01/01/1998
1999	GO	Junho	250	01/01/1999
2000	GO	Junho	222	01/01/2000
2001	GO	Junho	212	01/01/2001
2002	GO	Junho	302	01/01/2002
2003	GO	Junho	321	01/01/2003
2004	GO	Junho	422	01/01/2004
2005	GO	Junho	189	01/01/2005
2006	GO	Junho	70	01/01/2006
2007	GO	Junho	186	01/01/2007
2008	GO	Junho	55	01/01/2008
2009	GO	Junho	179	01/01/2009
2010	GO	Junho	278	01/01/2010
2011	GO	Junho	314	01/01/2011
2012	GO	Junho	245	01/01/2012
2013	GO	Junho	192	01/01/2013
2014	GO	Junho	318	01/01/2014
2015	GO	Junho	277	01/01/2015
2016	GO	Junho	289	01/01/2016
2017	GO	Junho	442	01/01/2017
1998	GO	Julho	512	01/01/1998
1999	GO	Julho	311	01/01/1999
2000	GO	Julho	332	01/01/2000
2001	GO	Julho	371	01/01/2001
2002	GO	Julho	686	01/01/2002
2003	GO	Julho	322	01/01/2003
2004	GO	Julho	778	01/01/2004
2005	GO	Julho	363	01/01/2005
2006	GO	Julho	169	01/01/2006
2007	GO	Julho	399	01/01/2007
2008	GO	Julho	193	01/01/2008
2009	GO	Julho	470	01/01/2009
2010	GO	Julho	941	01/01/2010
2011	GO	Julho	607	01/01/2011
2012	GO	Julho	564	01/01/2012
2013	GO	Julho	350	01/01/2013
2014	GO	Julho	446	01/01/2014
2015	GO	Julho	347	01/01/2015
2016	GO	Julho	837	01/01/2016
2017	GO	Julho	577	01/01/2017
1998	GO	Agosto	2.218	01/01/1998
1999	GO	Agosto	1.198	01/01/1999
2000	GO	Agosto	925	01/01/2000
2001	GO	Agosto	787	01/01/2001
2002	GO	Agosto	1.428	01/01/2002
2003	GO	Agosto	902	01/01/2003
2004	GO	Agosto	1.498	01/01/2004
2005	GO	Agosto	639	01/01/2005
2006	GO	Agosto	588	01/01/2006
2007	GO	Agosto	2.382	01/01/2007
2008	GO	Agosto	568	01/01/2008
2009	GO	Agosto	647	01/01/2009
2010	GO	Agosto	2.914	01/01/2010
2011	GO	Agosto	1.613	01/01/2011
2012	GO	Agosto	912	01/01/2012
2013	GO	Agosto	488	01/01/2013
2014	GO	Agosto	1.255	01/01/2014
2015	GO	Agosto	943	01/01/2015
2016	GO	Agosto	1.032	01/01/2016
2017	GO	Agosto	1.492	01/01/2017
1998	GO	Setembro	2.867	01/01/1998
1999	GO	Setembro	1.898	01/01/1999
2000	GO	Setembro	1.293	01/01/2000
2001	GO	Setembro	1.863	01/01/2001
2002	GO	Setembro	3.520	01/01/2002
2003	GO	Setembro	1.662	01/01/2003
2004	GO	Setembro	2.965	01/01/2004
2005	GO	Setembro	1.341	01/01/2005
2006	GO	Setembro	1.463	01/01/2006
2007	GO	Setembro	3.745	01/01/2007
2008	GO	Setembro	1.255	01/01/2008
2009	GO	Setembro	685	01/01/2009
2010	GO	Setembro	5.075	01/01/2010
2011	GO	Setembro	2.259	01/01/2011
2012	GO	Setembro	2.452	01/01/2012
2013	GO	Setembro	684	01/01/2013
2014	GO	Setembro	1.687	01/01/2014
2015	GO	Setembro	2.296	01/01/2015
2016	GO	Setembro	1.703	01/01/2016
2017	GO	Setembro	3.238	01/01/2017
1998	GO	Outubro	1.034	01/01/1998
1999	GO	Outubro	743	01/01/1999
2000	GO	Outubro	905	01/01/2000
2001	GO	Outubro	479	01/01/2001
2002	GO	Outubro	1.367	01/01/2002
2003	GO	Outubro	1.183	01/01/2003
2004	GO	Outubro	1.275	01/01/2004
2005	GO	Outubro	1.717	01/01/2005
2006	GO	Outubro	178	01/01/2006
2007	GO	Outubro	1.195	01/01/2007
2008	GO	Outubro	1.231	01/01/2008
2009	GO	Outubro	367	01/01/2009
2010	GO	Outubro	1.227	01/01/2010
2011	GO	Outubro	476	01/01/2011
2012	GO	Outubro	1.524	01/01/2012
2013	GO	Outubro	606	01/01/2013
2014	GO	Outubro	1.947	01/01/2014
2015	GO	Outubro	1.807	01/01/2015
2016	GO	Outubro	522	01/01/2016
2017	GO	Outubro	2.401	01/01/2017
1998	GO	Novembro	47	01/01/1998
1999	GO	Novembro	110	01/01/1999
2000	GO	Novembro	26	01/01/2000
2001	GO	Novembro	15	01/01/2001
2002	GO	Novembro	192	01/01/2002
2003	GO	Novembro	168	01/01/2003
2004	GO	Novembro	291	01/01/2004
2005	GO	Novembro	144	01/01/2005
2006	GO	Novembro	91	01/01/2006
2007	GO	Novembro	79	01/01/2007
2008	GO	Novembro	90	01/01/2008
2009	GO	Novembro	89	01/01/2009
2010	GO	Novembro	67	01/01/2010
2011	GO	Novembro	59	01/01/2011
2012	GO	Novembro	57	01/01/2012
2013	GO	Novembro	183	01/01/2013
2014	GO	Novembro	181	01/01/2014
2015	GO	Novembro	547	01/01/2015
2016	GO	Novembro	123	01/01/2016
2017	GO	Novembro	117	01/01/2017
1998	GO	Dezembro	13	01/01/1998
1999	GO	Dezembro	20	01/01/1999
2000	GO	Dezembro	6	01/01/2000
2001	GO	Dezembro	18	01/01/2001
2002	GO	Dezembro	115	01/01/2002
2003	GO	Dezembro	129	01/01/2003
2004	GO	Dezembro	56	01/01/2004
2005	GO	Dezembro	5	01/01/2005
2006	GO	Dezembro	7	01/01/2006
2007	GO	Dezembro	16	01/01/2007
2008	GO	Dezembro	6	01/01/2008
2009	GO	Dezembro	39	01/01/2009
2010	GO	Dezembro	48	01/01/2010
2011	GO	Dezembro	39	01/01/2011
2012	GO	Dezembro	93	01/01/2012
2013	GO	Dezembro	86	01/01/2013
2014	GO	Dezembro	68	01/01/2014
2015	GO	Dezembro	179	01/01/2015
2016	GO	Dezembro	64	01/01/2016
1998	MA	Janeiro	0	01/01/1998
1999	MA	Janeiro	54	01/01/1999
2000	MA	Janeiro	19	01/01/2000
2001	MA	Janeiro	29	01/01/2001
2002	MA	Janeiro	48	01/01/2002
2003	MA	Janeiro	436	01/01/2003
2004	MA	Janeiro	241	01/01/2004
2005	MA	Janeiro	450	01/01/2005
2006	MA	Janeiro	221	01/01/2006
2007	MA	Janeiro	428	01/01/2007
2008	MA	Janeiro	121	01/01/2008
2009	MA	Janeiro	240	01/01/2009
2010	MA	Janeiro	319	01/01/2010
2011	MA	Janeiro	124	01/01/2011
2012	MA	Janeiro	326	01/01/2012
2013	MA	Janeiro	209	01/01/2013
2014	MA	Janeiro	195	01/01/2014
2015	MA	Janeiro	494	01/01/2015
2016	MA	Janeiro	412	01/01/2016
2017	MA	Janeiro	187	01/01/2017
1998	MA	Fevereiro	0	01/01/1998
1999	MA	Fevereiro	6	01/01/1999
2000	MA	Fevereiro	11	01/01/2000
2001	MA	Fevereiro	1	01/01/2001
2002	MA	Fevereiro	116	01/01/2002
2003	MA	Fevereiro	11	01/01/2003
2004	MA	Fevereiro	22	01/01/2004
2005	MA	Fevereiro	56	01/01/2005
2006	MA	Fevereiro	22	01/01/2006
2007	MA	Fevereiro	13	01/01/2007
2008	MA	Fevereiro	45	01/01/2008
2009	MA	Fevereiro	20	01/01/2009
2010	MA	Fevereiro	93	01/01/2010
2011	MA	Fevereiro	9	01/01/2011
2012	MA	Fevereiro	46	01/01/2012
2013	MA	Fevereiro	62	01/01/2013
2014	MA	Fevereiro	29	01/01/2014
2015	MA	Fevereiro	95	01/01/2015
2016	MA	Fevereiro	318	01/01/2016
2017	MA	Fevereiro	47	01/01/2017
1998	MA	Março	0	01/01/1998
1999	MA	Março	17	01/01/1999
2000	MA	Março	6	01/01/2000
2001	MA	Março	0	01/01/2001
2002	MA	Março	16	01/01/2002
2003	MA	Março	16	01/01/2003
2004	MA	Março	18	01/01/2004
2005	MA	Março	9	01/01/2005
2006	MA	Março	14	01/01/2006
2007	MA	Março	52	01/01/2007
2008	MA	Março	4	01/01/2008
2009	MA	Março	33	01/01/2009
2010	MA	Março	82	01/01/2010
2011	MA	Março	22	01/01/2011
2012	MA	Março	49	01/01/2012
2013	MA	Março	30	01/01/2013
2014	MA	Março	59	01/01/2014
2015	MA	Março	53	01/01/2015
2016	MA	Março	113	01/01/2016
2017	MA	Março	32	01/01/2017
1998	MA	Abril	0	01/01/1998
1999	MA	Abril	4	01/01/1999
2000	MA	Abril	6	01/01/2000
2001	MA	Abril	2	01/01/2001
2002	MA	Abril	28	01/01/2002
2003	MA	Abril	79	01/01/2003
2004	MA	Abril	44	01/01/2004
2005	MA	Abril	43	01/01/2005
2006	MA	Abril	9	01/01/2006
2007	MA	Abril	5	01/01/2007
2008	MA	Abril	26	01/01/2008
2009	MA	Abril	14	01/01/2009
2010	MA	Abril	128	01/01/2010
2011	MA	Abril	37	01/01/2011
2012	MA	Abril	97	01/01/2012
2013	MA	Abril	62	01/01/2013
2014	MA	Abril	78	01/01/2014
2015	MA	Abril	119	01/01/2015
2016	MA	Abril	113	01/01/2016
2017	MA	Abril	91	01/01/2017
1998	MA	Maio	0	01/01/1998
1999	MA	Maio	3	01/01/1999
2000	MA	Maio	28	01/01/2000
2001	MA	Maio	21	01/01/2001
2002	MA	Maio	71	01/01/2002
2003	MA	Maio	60	01/01/2003
2004	MA	Maio	145	01/01/2004
2005	MA	Maio	74	01/01/2005
2006	MA	Maio	5	01/01/2006
2007	MA	Maio	73	01/01/2007
2008	MA	Maio	26	01/01/2008
2009	MA	Maio	19	01/01/2009
2010	MA	Maio	273	01/01/2010
2011	MA	Maio	73	01/01/2011
2012	MA	Maio	286	01/01/2012
2013	MA	Maio	100	01/01/2013
2014	MA	Maio	148	01/01/2014
2015	MA	Maio	194	01/01/2015
2016	MA	Maio	206	01/01/2016
2017	MA	Maio	142	01/01/2017
1998	MA	Junho	78	01/01/1998
1999	MA	Junho	32	01/01/1999
2000	MA	Junho	94	01/01/2000
2001	MA	Junho	100	01/01/2001
2002	MA	Junho	230	01/01/2002
2003	MA	Junho	338	01/01/2003
2004	MA	Junho	706	01/01/2004
2005	MA	Junho	529	01/01/2005
2006	MA	Junho	131	01/01/2006
2007	MA	Junho	515	01/01/2007
2008	MA	Junho	235	01/01/2008
2009	MA	Junho	279	01/01/2009
2010	MA	Junho	494	01/01/2010
2011	MA	Junho	602	01/01/2011
2012	MA	Junho	915	01/01/2012
2013	MA	Junho	498	01/01/2013
2014	MA	Junho	812	01/01/2014
2015	MA	Junho	887	01/01/2015
2016	MA	Junho	709	01/01/2016
2017	MA	Junho	885	01/01/2017
1998	MA	Julho	274	01/01/1998
1999	MA	Julho	258	01/01/1999
2000	MA	Julho	233	01/01/2000
2001	MA	Julho	549	01/01/2001
2002	MA	Julho	1.271	01/01/2002
2003	MA	Julho	1.103	01/01/2003
2004	MA	Julho	1.366	01/01/2004
2005	MA	Julho	1.152	01/01/2005
2006	MA	Julho	512	01/01/2006
2007	MA	Julho	1.205	01/01/2007
2008	MA	Julho	502	01/01/2008
2009	MA	Julho	972	01/01/2009
2010	MA	Julho	2.323	01/01/2010
2011	MA	Julho	1.024	01/01/2011
2012	MA	Julho	3.548	01/01/2012
2013	MA	Julho	1.111	01/01/2013
2014	MA	Julho	2.068	01/01/2014
2015	MA	Julho	1.642	01/01/2015
2016	MA	Julho	2.096	01/01/2016
2017	MA	Julho	2.521	01/01/2017
1998	MA	Agosto	1.176	01/01/1998
1999	MA	Agosto	895	01/01/1999
2000	MA	Agosto	839	01/01/2000
2001	MA	Agosto	2.037	01/01/2001
2002	MA	Agosto	3.481	01/01/2002
2003	MA	Agosto	2.023	01/01/2003
2004	MA	Agosto	1.889	01/01/2004
2005	MA	Agosto	2.239	01/01/2005
2006	MA	Agosto	1.382	01/01/2006
2007	MA	Agosto	8.409	01/01/2007
2008	MA	Agosto	713	01/01/2008
2009	MA	Agosto	1.766	01/01/2009
2010	MA	Agosto	6.353	01/01/2010
2011	MA	Agosto	2.138	01/01/2011
2012	MA	Agosto	10.395	01/01/2012
2013	MA	Agosto	2.098	01/01/2013
2014	MA	Agosto	5.592	01/01/2014
2015	MA	Agosto	5.428	01/01/2015
2016	MA	Agosto	3.723	01/01/2016
2017	MA	Agosto	3.875	01/01/2017
1998	MA	Setembro	3.935	01/01/1998
1999	MA	Setembro	1.739	01/01/1999
2000	MA	Setembro	1.365	01/01/2000
2001	MA	Setembro	4.618	01/01/2001
2002	MA	Setembro	3.181	01/01/2002
2003	MA	Setembro	5.878	01/01/2003
2004	MA	Setembro	4.673	01/01/2004
2005	MA	Setembro	6.292	01/01/2005
2006	MA	Setembro	2.907	01/01/2006
2007	MA	Setembro	8.524	01/01/2007
2008	MA	Setembro	2.761	01/01/2008
